artists,track_name,popularity,duration_ms,danceability,energy,loudness,tempo,track_genre
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,0.568,0.686,-6.635,172.075,acoustic
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,0.568,0.686,-6.635,172.075,acoustic
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,0.568,0.686,-6.635,172.075,acoustic
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,0.568,0.686,-6.635,172.075,acoustic
Highland Peak,Trampoline - Acoustic,46,213098,0.596,0.2,-10.424,107.893,acoustic
Motohiro Hata,透明だった世界,61,232360,0.373,0.914,-4.185,168.21,acoustic
Andrew Belle,Pieces,60,241119,0.494,0.652,-5.863,137.018,acoustic
Ron Pope,A Drop in the Ocean,68,220239,0.447,0.393,-8.65,73.139,acoustic
Adam Christopher,So Far Away - Acoustic,52,171543,0.576,0.331,-9.389,149.02,acoustic
Andrew Belle,The Enemy,62,286865,0.536,0.89,-5.222,121.974,acoustic
Aron Wright,Build It Better,51,234473,0.526,0.333,-13.02,94.951,acoustic
Chord Overstreet,Sleepwalking in the Rain,0,216000,0.501,0.381,-9.448,80.075,acoustic
Sara Bareilles,Gravity,67,232760,0.27,0.275,-10.357,168.964,acoustic
Chord Overstreet,What's Left of You,57,178600,0.731,0.507,-6.477,117.969,acoustic
Zack Tabudlo,Pano,75,254400,0.375,0.457,-7.018,174.839,acoustic
Andrew Belle,Sky's Still Blue,62,244320,0.43,0.791,-5.419,171.864,acoustic
Kurt Cobain,And I Love Her,66,124933,0.616,0.282,-15.317,96.638,acoustic
Boyce Avenue;Bea Miller,We Can't Stop,64,222146,0.705,0.347,-8.249,80.057,acoustic
Tim Halperin,Always Be My Baby,62,181852,0.582,0.255,-10.254,139.884,acoustic
Canyon City,Alone with You,58,186584,0.549,0.274,-12.565,86.664,acoustic
Aaron Espe,Making All Things New,65,159600,0.787,0.355,-11.429,99.978,acoustic
Sara Bareilles,She Used To Be Mine,67,250266,0.397,0.303,-7.508,81.05,acoustic
Andrew Belle,In My Veins - Feat. Erin Mccarley,65,318908,0.548,0.42,-7.842,128.012,acoustic
Tyler Ward,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,0.787,0.403,-11.989,118.042,acoustic
Ron Pope,A Drop In the Ocean,55,219480,0.484,0.573,-6.183,139.966,acoustic
Five For Fighting,Superman (It's Not Easy),70,221693,0.382,0.416,-9.303,102.089,acoustic
Andrew Belle,When the End Comes,57,354400,0.541,0.575,-9.463,91.98,acoustic
Bailey Jehl,You're Still The One,56,177500,0.607,0.473,-8.555,119.698,acoustic
Ingrid Michaelson,Light Me Up,56,247840,0.417,0.595,-7.84,147.928,acoustic
Jason Mraz,93 Million Miles,67,216386,0.572,0.454,-10.286,140.182,acoustic
A Great Big World,Kaleidoscope,62,229320,0.709,0.913,-5.148,108.024,acoustic
Eddie Vedder;Nusrat Fateh Ali Khan,The Long Road,45,330933,0.537,0.342,-13.553,109.236,acoustic
Drew Holcomb & The Neighbors,What Would I Do Without You,64,172213,0.602,0.336,-11.106,90.894,acoustic
Jason Mraz,Have It All,65,226106,0.643,0.638,-4.947,82.001,acoustic
Gabrielle Aplin,Heavy Heart,0,235173,0.451,0.7,-6.597,150.055,acoustic
Gabrielle Aplin,The House We Never Built,0,195213,0.546,0.391,-10.786,139.669,acoustic
Eddie Vedder,Society,68,236306,0.561,0.327,-10.835,161.858,acoustic
Gabrielle Aplin,Please Don't Say You Love Me,0,181400,0.479,0.541,-9.862,85.994,acoustic
Gabrielle Aplin,Please Don't Say You Love Me,0,181400,0.479,0.541,-9.862,85.994,acoustic
Eddie Vedder,Guaranteed,61,164500,0.436,0.4,-11.485,100.734,acoustic
Sara Bareilles,Brave,70,220573,0.551,0.836,-3.838,185.063,acoustic
KT Tunstall,Lonely This Christmas,0,257493,0.409,0.153,-10.74,85.262,acoustic
KT Tunstall,Lonely This Christmas,0,257493,0.409,0.153,-10.74,85.262,acoustic
Five For Fighting,Heaven Knows,62,210612,0.6,0.845,-7.076,97.631,acoustic
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,90.078,acoustic
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,90.078,acoustic
KT Tunstall,Fairytale Of New York,0,263866,0.447,0.555,-6.018,117.888,acoustic
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,90.078,acoustic
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,90.078,acoustic
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,90.078,acoustic
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,90.078,acoustic
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,90.078,acoustic
KT Tunstall,Hold On,0,177613,0.661,0.937,-5.157,105.549,acoustic
KT Tunstall,Suddenly I See,0,199040,0.603,0.78,-5.531,100.499,acoustic
Motohiro Hata,Rain,58,293040,0.626,0.655,-6.69,92.003,acoustic
Callum J Wright,Somebody Else - Acoustic,50,138495,0.794,0.38,-8.769,114.99,acoustic
Andrew Belle,Pieces (Hushed),59,198626,0.52,0.279,-10.739,69.642,acoustic
Boyce Avenue;Fifth Harmony,Mirrors,57,292566,0.545,0.658,-7.174,76.971,acoustic
Boyce Avenue,Stand by Me,60,199019,0.728,0.266,-7.322,115.189,acoustic
Gabrielle Aplin;JP Cooper,Losing Me,61,181760,0.66,0.407,-8.381,133.86,acoustic
Mone Kamishiraishi,なんでもないや - movie ver.,49,349920,0.357,0.161,-10.667,83.449,acoustic
John Adams,You’re Beautiful - Acoustic,55,204973,0.479,0.154,-11.282,147.207,acoustic
Kitri,Hikare Inochi,51,322146,0.592,0.769,-5.268,102.033,acoustic
Tyler Ward,How To Lose a Girl,46,210375,0.7,0.454,-10.39,80.011,acoustic
Boyce Avenue,Can’t Help Falling in Love,57,131000,0.402,0.197,-10.775,100.044,acoustic
Andrew Belle,Dive Deep (Hushed),58,218531,0.507,0.378,-9.019,135.86,acoustic
Ben Woodward,When the Party's over (Acoustic Piano),51,195945,0.619,0.226,-13.453,124.96,acoustic
Augustana,Boston,63,245933,0.404,0.571,-5.069,147.01,acoustic
Matthew Perryman Jones,Living in the Shadows,53,212386,0.418,0.79,-6.599,175.975,acoustic
Boyce Avenue,In Case You Didn’t Know,60,225165,0.633,0.299,-7.798,147.549,acoustic
Andrew Foy;Renee Foy,death bed (coffee for your head),47,112008,0.565,0.0392,-28.276,125.399,acoustic
Kina Grannis,You Are My Sunshine,60,123609,0.664,0.0755,-19.836,80.004,acoustic
Jason Mraz,I Won't Give Up,66,240165,0.585,0.303,-10.058,136.703,acoustic
Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,67,265843,0.65,0.271,-11.081,78.036,acoustic
Meg Birch,Only Love Can Hurt Like This,43,194194,0.534,0.213,-8.64,98.385,acoustic
Catherine Feeny,Mr Blue,54,154600,0.456,0.386,-10.293,165.733,acoustic
Joshua Hyslop,Do Not Let Me Go,60,158960,0.409,0.234,-13.711,139.832,acoustic
Ross Copperman,Holding On And Letting Go,49,319000,0.502,0.53,-9.573,78.046,acoustic
JJ Heller,You Already Know,57,214360,0.496,0.117,-12.884,78.068,acoustic
Ben Woodward,Believer (Remix),42,204480,0.585,0.724,-6.513,187.484,acoustic
Howie Day,Collide - Acoustic Version,67,277000,0.582,0.253,-11.43,90.186,acoustic
Ben Rector,Love Like This,61,214240,0.637,0.14,-11.472,139.78,acoustic
Matt Nathanson,Come On Get Higher,71,215173,0.672,0.623,-5.699,92.018,acoustic
Rachael Yamagata,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",49,296862,0.422,0.272,-10.772,143.413,acoustic
Parachute,Kiss Me Slowly,61,235813,0.47,0.801,-6.426,173.92,acoustic
Parachute,Without You,61,228933,0.564,0.864,-5.121,95.984,acoustic
Jason Mraz,Absolutely Zero,20,339196,0.521,0.495,-7.756,135.061,acoustic
Jason Mraz,Sleep All Day,22,296843,0.616,0.81,-6.51,97.994,acoustic
Jason Mraz,You and I Both,35,218240,0.615,0.812,-6.573,98.954,acoustic
Eddie Vedder,Long Nights,60,151773,0.478,0.305,-13.062,108.66,acoustic
Gabrielle Aplin,Please Don't Say You Love Me,59,181400,0.479,0.541,-9.862,85.994,acoustic
KT Tunstall,Suddenly I See,73,201706,0.587,0.767,-5.713,100.38,acoustic
Jason Mraz,Who Needs Shelter,22,192260,0.514,0.569,-7.866,142.597,acoustic
Jason Mraz,No Stopping Us,19,198855,0.646,0.836,-6.203,105.991,acoustic
Jason Mraz,I'll Do Anything,24,191889,0.57,0.711,-4.155,163.117,acoustic
JJ Heller,Make You Feel My Love,57,171293,0.678,0.199,-9.785,72.006,acoustic
Jason Mraz,The Remedy (I Won't Worry),35,256440,0.589,0.867,-4.523,94.52,acoustic
Jason Mraz,Too Much Food,20,221425,0.626,0.926,-4.441,99.997,acoustic
Jason Mraz,The Boy's Gone,18,255047,0.686,0.556,-8.5,112.997,acoustic
Jason Mraz,"On Love, in Sadness",19,208793,0.56,0.832,-5.595,100.957,acoustic
Jason Mraz,Curbside Prophet,23,214552,0.619,0.793,-5.964,177.991,acoustic
Jason Mraz,"Tonight, Not Again - Live",19,264280,0.56,0.278,-12.501,102.187,acoustic
Jason Mraz,"Tonight, Not Again",18,289041,0.595,0.805,-7.926,102.44,acoustic
Eddie Vedder,Hard Sun,65,322080,0.438,0.827,-6.531,143.377,acoustic
Susie Suh;Robot Koch,Here with Me,55,238971,0.582,0.375,-13.277,129.909,acoustic
Tyler Ward;Lindsey Stirling;Kina Grannis,The Scientist,47,276575,0.453,0.295,-12.881,146.022,acoustic
Howie Day,Collide,56,249120,0.636,0.625,-7.895,93.931,acoustic
Eden Elf;Ren Avel,get better,53,111734,0.639,0.201,-16.613,88.107,acoustic
Kitri,Sympathy,49,210760,0.69,0.423,-9.194,130.121,acoustic
Boyce Avenue;Rachel Grae,Let It Go,51,255688,0.599,0.349,-9.269,147.913,acoustic
Chord Overstreet,What You Need,53,181786,0.519,0.264,-11.171,140.354,acoustic
Five For Fighting,100 Years,66,244600,0.643,0.569,-7.459,120.507,acoustic
Andrew Belle,You're the Sea,56,174546,0.573,0.624,-9.076,161.025,acoustic
Rachael Yamagata,No Direction,47,234330,0.654,0.821,-5.472,111.958,acoustic
Cary Brothers,Belong,51,255600,0.426,0.399,-8.447,115.979,acoustic
The Mayries,As It Was,55,176542,0.505,0.21,-11.349,80.721,acoustic
Jason Mraz,I'm Yours,60,243494,0.693,0.43,-9.395,151.001,acoustic
Joseph Sullinger,Chi Mai,40,188695,0.739,0.287,-14.007,80.64,acoustic
A Great Big World;Christina Aguilera,Say Something,58,229400,0.453,0.146,-8.976,137.905,acoustic
Parachute,Had It All,55,216853,0.606,0.54,-6.271,79.952,acoustic
Zack Tabudlo;Yonnyboii,Take Me Back ft. Yonnyboii,50,149000,0.595,0.646,-5.495,120.049,acoustic
Tobey Rosen,Whole Again - Acoustic Version,52,157231,0.736,0.145,-9.215,129.832,acoustic
The Mayries,Overpass Graffiti,54,226603,0.479,0.126,-13.974,96.327,acoustic
Sara Bareilles,Love Song,73,258826,0.583,0.786,-3.142,123.055,acoustic
Andrew Foy;Renee Foy,Let Her Go,38,194013,0.549,0.291,-13.457,75.153,acoustic
Aqualung,Brighter Than Sunshine,53,242439,0.418,0.489,-8.373,72.891,acoustic
Tyler Ward;Karis;Ray Lorraine,Love Story,55,232500,0.498,0.12,-17.721,121.187,acoustic
Agustín Amigó;Nylonwings,Mujer con Abanico,41,156787,0.769,0.135,-12.049,103.939,acoustic
Amy Stroup,In the Shadows,46,263823,0.434,0.469,-7.849,136.282,acoustic
Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,63,250916,0.452,0.198,-9.374,119.499,acoustic
Brandi Carlile,The Story,66,238493,0.544,0.5,-8.253,93.621,acoustic
JJ Heller,Better,54,215906,0.662,0.187,-9.003,104.988,acoustic
Kina Grannis,Iris,62,181136,0.497,0.13,-15.571,130.769,acoustic
The Mayries,Rockabye - Acoustic Version,57,157466,0.528,0.291,-9.696,76.805,acoustic
Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,68,233728,0.461,0.522,-7.513,157.768,acoustic
Boyce Avenue,Beautiful Soul,62,216612,0.483,0.506,-6.058,87.337,acoustic
Jason Mraz,Let's See What The Night Can Do,53,245186,0.392,0.423,-7.813,113.537,acoustic
Rachael Yamagata,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",44,219613,0.42,0.2,-18.827,87.248,acoustic
Parachute,Forever And Always,57,248960,0.657,0.716,-5.675,93.924,acoustic
Priscilla Ahn,Fine On The Outside,52,252466,0.495,0.185,-13.824,101.89,acoustic
Chord Overstreet,Tortured Soul,53,246613,0.55,0.499,-9.502,86.966,acoustic
JJ Heller,I Believe in You,53,198786,0.534,0.359,-9.311,131.804,acoustic
Jon Bryant,At Home,55,226640,0.378,0.52,-10.965,73.744,acoustic
Donovan Woods,"Portland, Maine",66,203869,0.606,0.349,-13.967,80.071,acoustic
Ross Copperman,Holding On and Letting Go,49,317441,0.486,0.555,-9.466,77.987,acoustic
Joshua Hyslop,The Flood,60,261640,0.577,0.446,-11.343,81.005,acoustic
Angelina Cruz,Hanggang Kailan (Umuwi Ka Na Baby),38,211933,0.59,0.407,-9.079,145.852,acoustic
Stephen Speaks,Out of My League,67,218800,0.538,0.315,-10.057,91.921,acoustic
A Great Big World,Say Something,57,233266,0.447,0.158,-7.571,140.942,acoustic
Eddie Vedder,Rise,60,156453,0.401,0.58,-6.86,173.277,acoustic
The Weepies;Deb Talan;Steve Tannen,World Spins Madly On,64,165133,0.502,0.311,-13.421,107.612,acoustic
Freddie King,Stumble,0,216626,0.678,0.612,-9.764,118.381,acoustic
Taj Mahal,Paradise,0,251426,0.65,0.406,-13.492,79.642,acoustic
Keb' Mo';Gerald Albright,"Moonlight, Mistletoe & You",0,209293,0.649,0.399,-7.894,97.498,acoustic
Motohiro Hata,ひまわりの約束,61,308146,0.523,0.445,-6.359,78.957,acoustic
Thomas Daniel,Since U Been Gone - Acoustic Version,50,221170,0.538,0.162,-13.31,94.981,acoustic
Masayoshi Yamazaki,"One more time,One more chance",47,330786,0.519,0.429,-7.707,129.491,acoustic
Kina Grannis,Creep,58,234135,0.585,0.103,-12.682,133.057,acoustic
Todd Carey;Ariza;Chuck Leavell,Higher Love,30,173250,0.578,0.763,-4.824,96.808,acoustic
YUZU,Hyouriittai,52,336619,0.223,0.891,-3.626,159.888,acoustic
Canyon City,How Long Will I Love You,55,144830,0.382,0.157,-16.157,136.11,acoustic
Zack Tabudlo,Binibini,67,221538,0.642,0.374,-10.606,129.863,acoustic
Aron Wright,You Were Supposed to Be Different,45,192972,0.436,0.239,-12.83,73.761,acoustic
Boyce Avenue,Thinking out Loud,56,278640,0.702,0.326,-6.638,79.904,acoustic
Jonah Baker,Perfect / Style,37,212864,0.593,0.292,-12.755,111.121,acoustic
The Civil Wars,Poison & Wine,54,219466,0.285,0.186,-12.729,153.848,acoustic
Howie Day,Collide,66,249120,0.636,0.625,-7.895,93.931,acoustic
Ingrid Michaelson,You And I,63,148400,0.698,0.285,-7.632,135.027,acoustic
Zack Tabudlo;Billkin,Give Me Your Forever (ft. Billkin),58,244800,0.601,0.439,-7.589,99.976,acoustic
Landon Pigg,Falling in Love at a Coffee Shop,55,270840,0.332,0.298,-14.174,83.555,acoustic
Anna Nalick,Breathe (2 AM),65,279826,0.386,0.452,-7.715,169.837,acoustic
Zack Tabudlo,Habang Buhay,69,244067,0.62,0.668,-5.719,118.013,acoustic
Jonah Baker,Beautiful Soul,44,214738,0.394,0.281,-11.12,90.044,acoustic
Ben Woodward,Bulletproof,39,207677,0.59,0.552,-10.496,155.101,acoustic
Andrew Belle,Spectrum,54,265506,0.539,0.717,-7.385,117.973,acoustic
Jonah Baker,Girls Like You - Acoustic Version,44,188494,0.543,0.138,-14.331,115.65,acoustic
Zack Tabudlo,Nangangamba,70,210354,0.62,0.547,-6.772,98.032,acoustic
Us The Duo,Better Together,64,200706,0.761,0.311,-10.597,109.891,acoustic
Andrew Foy;Renee Foy,Heartbreak Anniversary,40,199256,0.674,0.122,-17.963,130.014,acoustic
Tyler Ward;Karis;Ray Lorraine,One More Time Around,47,205666,0.429,0.358,-9.076,134.279,acoustic
A Great Big World,Say Something,40,229573,0.456,0.101,-11.75,139.896,acoustic
Zack Tabudlo,Heart Can’t Lose,55,240952,0.647,0.567,-8.971,125.871,acoustic
Donovan Woods;Tenille Townes,I Ain't Ever Loved No One - Acoustic,57,199594,0.322,0.213,-14.915,160.389,acoustic
Ray LaMontagne,Empty,48,317280,0.482,0.381,-13.93,81.712,acoustic
Megan Davies,"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",54,231965,0.393,0.207,-11.865,163.99,acoustic
Tim Halperin,The Reason,53,200800,0.423,0.207,-8.811,149.664,acoustic
Canyon City,Fix You,60,261665,0.522,0.152,-14.996,144.055,acoustic
JJ Heller,Hand to Hold,54,231605,0.547,0.313,-7.982,133.737,acoustic
Ray LaMontagne,Hold You in My Arms,62,306200,0.504,0.321,-13.807,170.134,acoustic
Us The Duo,One Last Dance,51,224847,0.466,0.161,-14.498,139.167,acoustic
Boyce Avenue;Megan Nicole,Heaven,61,250063,0.619,0.28,-10.238,129.948,acoustic
Joshua Hyslop,The Spark - Bonus Track,51,201933,0.596,0.429,-10.16,148.086,acoustic
Drew Holcomb & The Neighbors,American Beauty,63,158013,0.645,0.169,-15.744,167.826,acoustic
Ray LaMontagne,Such A Simple Thing,65,296386,0.522,0.256,-11.216,76.349,acoustic
Amos Lee,Colors,64,160453,0.681,0.168,-13.397,128.615,acoustic
Boyce Avenue,Someone You Loved,57,182442,0.736,0.364,-5.966,110.023,acoustic
Jason Mraz;Meghan Trainor,More Than Friends (feat. Meghan Trainor),54,181360,0.451,0.528,-6.984,139.28,acoustic
Days N Daze,Flurry Rush,37,169318,0.371,0.674,-3.72,87.603,acoustic
Sara Bareilles,I Choose You,63,218573,0.731,0.572,-7.889,154.038,acoustic
Mindy Gledhill,I Do Adore,53,149160,0.69,0.334,-5.626,74.721,acoustic
Dave Barnes,I'll Be Home For Christmas,0,183293,0.594,0.307,-13.062,94.026,acoustic
Get Dead,Fuck You,36,169266,0.608,0.917,-5.341,117.875,acoustic
Albert King,Christmas Comes But Once A Year,0,272640,0.687,0.494,-9.421,93.269,acoustic
Albert King,Christmas Comes But Once A Year,0,272640,0.687,0.494,-9.421,93.269,acoustic
John Adams,If I Ain't Got You - Acoustic,55,176509,0.652,0.15,-12.699,104.018,acoustic
John Adams,Believe - Acoustic,57,179886,0.765,0.241,-8.865,123.95,acoustic
Adam Christopher,Iris - Acoustic,54,184200,0.589,0.249,-10.086,150.096,acoustic
Motohiro Hata,Rain - Long Ver.,44,447306,0.588,0.604,-7.602,92.02,acoustic
Aoi Teshima,C'est si bon,51,108346,0.735,0.203,-13.237,113.913,acoustic
Jonah Baker,Baby (Acoustic Version),42,160768,0.655,0.147,-14.409,116.103,acoustic
YUZU,Reason,47,304320,0.363,0.819,-3.128,122.527,acoustic
Boyce Avenue;Emma Heesters,I Like Me Better,54,201508,0.473,0.263,-8.609,87.145,acoustic
Zack Tabudlo,Asan Ka Na Ba,73,241132,0.676,0.768,-5.695,105.999,acoustic
Boyce Avenue,A Thousand Years,56,263710,0.41,0.221,-11.673,139.529,acoustic
Thomas Daniel,drivers license,56,246345,0.439,0.217,-13.166,144.413,acoustic
Jason Mraz,Love Someone,59,257173,0.582,0.347,-14.769,97.957,acoustic
Jae Hall,The Winner Takes It All - Acoustic,57,159012,0.426,0.127,-13.287,62.535,acoustic
Aaron Espe,Only Time,56,178546,0.696,0.261,-12.107,136.053,acoustic
A Fine Frenzy,Almost Lover,57,268800,0.549,0.24,-7.778,119.58,acoustic
Roses & Frey,Dance Monkey,51,197850,0.541,0.192,-13.995,139.938,acoustic
Parachute,Ocean,48,222400,0.662,0.711,-4.924,119.989,acoustic
Kina Grannis,Dream a Little Dream of Me,52,142379,0.665,0.185,-13.852,82.474,acoustic
The Mayries,Back For Good,54,194667,0.591,0.175,-12.959,139.902,acoustic
Canyon City,OK,55,212400,0.489,0.183,-14.769,79.961,acoustic
Andrew Foy;Renee Foy,Just The Two Of Us,41,196304,0.618,0.083,-23.665,90.865,acoustic
Boyce Avenue,Hey There Delilah,49,230868,0.664,0.319,-8.149,105.036,acoustic
Andrew Foy;Renee Foy,Arcade,37,186738,0.408,0.266,-12.9,143.651,acoustic
Kina Grannis,Yellow,52,193536,0.623,0.132,-13.668,82.105,acoustic
Roses & Frey,Wake Me Up,58,196819,0.494,0.214,-11.041,125.981,acoustic
Aidan Hawken,Walking Blind,48,201440,0.374,0.183,-13.225,82.042,acoustic
Jon Bryant,Headphones,56,204998,0.559,0.455,-8.937,159.985,acoustic
The Rescues,Teenage Dream,46,219093,0.642,0.408,-8.168,119.81,acoustic
Ivan & Alyosha,The Worth Of The Wait,55,171800,0.48,0.618,-7.335,82.051,acoustic
Kina Grannis,Can't Help Falling In Love - Piano Version,54,211624,0.271,0.0937,-15.035,164.721,acoustic
Austin Plaine,Never Come Back Again,57,196240,0.594,0.695,-8.872,104.977,acoustic
Chord Overstreet,Love You To Death,49,199459,0.574,0.344,-8.995,147.924,acoustic
Plamina,Someone You Loved - Acoustic,55,169253,0.647,0.298,-7.91,106.244,acoustic
Kina Grannis;Imaginary Future,What a Wonderful World,51,137066,0.486,0.0399,-21.56,95.066,acoustic
Andrew Foy;Renee Foy,You Broke Me First,39,128798,0.734,0.0423,-24.831,123.905,acoustic
Joshua Hyslop,Long Way Down,60,257972,0.711,0.231,-13.033,125.062,acoustic
Parachute,She Is Love,60,146066,0.629,0.174,-9.697,134.295,acoustic
Phillip LaRue,Marigold,53,172708,0.615,0.406,-12.619,166.035,acoustic
krissy & ericka,12:51,64,246280,0.503,0.357,-9.36,136.135,acoustic
Takehara Pistol,サンサーラ,34,331984,0.45,0.183,-9.003,61.192,acoustic
Allman Brown;Liz Lawrence,Sons and Daughters,50,216052,0.525,0.461,-9.489,147.997,acoustic
Ben Rector,Brand New,65,243933,0.555,0.934,-5.04,144.874,acoustic
The Weepies;Deb Talan;Steve Tannen,Gotta Have You,56,199786,0.678,0.363,-10.9,75.004,acoustic
Ben Rector,"30,000 Feet",57,256933,0.555,0.452,-9.636,179.921,acoustic
Eddy Tyler,A Thousand Years,43,279916,0.586,0.396,-9.953,142.591,acoustic
Ray LaMontagne,Jolene,64,250866,0.588,0.142,-15.196,119.656,acoustic
Eddie Vedder,No Ceiling,58,94053,0.724,0.652,-6.869,106.911,acoustic
Joy Williams,Front Porch,64,231813,0.567,0.224,-10.024,124.44,acoustic
Days N Daze,Goodbye Lulu,35,150047,0.544,0.839,-8.991,87.609,acoustic
Ray LaMontagne,Three More Days,36,216773,0.555,0.68,-8.358,84.518,acoustic
Callum J Wright,Isn't She Lovely - Acoustic,54,145771,0.69,0.306,-9.193,115.671,acoustic
Rachael Yamagata,We Could Still Be Happy,43,279260,0.513,0.317,-17.036,84.853,acoustic
John Adams,Fix You - Acoustic,49,162963,0.494,0.152,-9.843,134.178,acoustic
Lusaint,I'm Yours - Acoustic,55,166189,0.634,0.267,-7.396,143.514,acoustic
